Entity;GDP per capita, PPP (constant 2017 international $);Happines;;;;;;;;
Afghanistan;19.045.599;425.835;;;;;;;;
Albania;11.052.794;5.133.704;;;;;;;;
Algeria;11.078.229;5.367.827;;;;;;;;
Argentina;24.647.629;6.242.357;;;;;;;;
Australia;45389.17;7.344.625;;;;;;;;
Canada;45.822.598;7.499.089;;;;;;;;
Colombia;12.480.547;6.202.322;;;;;;;;
Costa Rica;17.360.201;7.251.115;;;;;;;;
Denmark;51.293.207;785.574;;;;;;;;
Ecuador;10.984.284;5.424.841;;;;;;;;
Egypt;10.302.442;48.534;;;;;;;;
El Salvador;75.758.447;5.955.841;;;;;;;;
France;42864.02;6.746.459;;;;;;;;
Germany;49.757.926;6.572.111;;;;;;;;
Guatemala;7.503.675;6.276.682;;;;;;;;
Israel;35.086.727;7.198.713;;;;;;;;
Italy;42.892.305;6.578.179;;;;;;;;
Japan;38.149.617;6.059.098;;;;;;;;
Mexico;18.186.225;6.740.288;;;;;;;;
Netherlands;52594.23;7.512.336;;;;;;;;
New Zealand;38.214.473;7.372.486;;;;;;;;
Nigeria;5.056.892;4.855.947;;;;;;;;
Panama;23.349.166;6.862.561;;;;;;;;
Paraguay;10.714.691;5.398.257;;;;;;;;
Peru;10.616.844;525.838;;;;;;;;
Poland;25.124.275;5.803.043;;;;;;;;
Portugal;31.304.816;5.327.314;;;;;;;;
Puerto Rico;33.224.574;6.592.634;;;;;;;;
Qatar;99147.29;6.569.056;;;;;;;;
Romania;20792.16;5.178.499;;;;;;;;
Russia;24.972.078;5.284.313;;;;;;;;
Saudi Arabia;46989.15;6.597.326;;;;;;;;
Senegal;27.570.793;4.414.183;;;;;;;;
Serbia;14.923.808;4.564.279;;;;;;;;
South Korea;35.388.977;5.643.442;;;;;;;;
Spain;36.884.258;6.761.248;;;;;;;;
Sweden;48.947.438;7.379.463;;;;;;;;
Switzerland;66342.01;7.498.953;;;;;;;;
United Kingdom;42429.21;6.936.396;;;;;;;;
United States;54.758.832;7.270.243;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
